Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Brands (product.metafields.custom.brands),Breed Size (product.metafields.custom.breed_size),Categories (product.metafields.custom.categories),Disclaimer (product.metafields.custom.disclaimer),eCategories (product.metafields.custom.ecategories),Feeding Instructions (product.metafields.custom.feeding_instructions),Flavor (product.metafields.custom.flavor6),Frequently Bought together products (product.metafields.custom.frequently_bought_together_products),Guaranteed Analysis (product.metafields.custom.guaranteed_analysis),Ingredients (product.metafields.custom.ingredients),Key Benefits (product.metafields.custom.key_benefits),Life Stages (product.metafields.custom.life_stages),Locations (product.metafields.custom.locations),Manufacturer (product.metafields.custom.manufacturer),Product Badge (product.metafields.custom.product_badge),Product Description (product.metafields.custom.product_description),Solutions (product.metafields.custom.solutions),Special Diet (product.metafields.custom.special_diet),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Canada,Price / Canada,Compare At Price / Canada,Status
Tropiclean---Papaya-&-Coconut-2in1-NS,Tropiclean - Papaya & Coconut 2in1,,Trueman Distribution Ltd.,,Pet Supplies,LaunchNoScans,TRUE,Size,20oz,,,,,,,,97038,0,shopify,deny,manual,20.99,,TRUE,TRUE,,,,,645095007741,,,,FALSE,,,,,,,,,,,,,,,,Health and Wellness >> Shampoos & Conditioners,,,,,,,,,,,,,,,,,,,,,,,,9.4251,TRUE,,,active
Tropiclean---Tangle-Remover-NS,Tropiclean - Tangle Remover,,Trueman Distribution Ltd.,,Pet Supplies,LaunchNoScans,TRUE,Size,16oz,,,,,,,,97027,0,shopify,deny,manual,22.99,,TRUE,TRUE,,,,,645095007888,,,,FALSE,,,,,,,,,,,,,,,,Health and Wellness >> Shampoos & Conditioners,,,,,,,,,,,,,,,,,,,,,,,,10.235,TRUE,,,active
Tropiclean---Tear-Stain-Remover-NS,Tropiclean - Tear Stain Remover,,Trueman Distribution Ltd.,,Pet Supplies,LaunchNoScans,TRUE,Size,8oz,,,,,,,,97028,0,shopify,deny,manual,16.99,,TRUE,TRUE,,,,,645095008076,,,,FALSE,,,,,,,,,,,,,,,,Vitamins & Solutions >> Eye & Ear,,,,,,,,,,,,,,,,,,,,,,,,7.7875,TRUE,,,active
Tropiclean----Tropiclean-Luxury-2-in-1-Pet-Wipes-Papaya-and-Coconut-NS,Tropiclean  - Tropiclean Luxury 2 in 1 Pet Wipes Papaya and Coconut,,Trueman Distribution Ltd.,,Pet Supplies,LaunchNoScans,TRUE,Size,1,,,,,,,,TMN96230,0,shopify,deny,manual,12.99,,TRUE,TRUE,,,,,645095003798,,,,FALSE,,,,,,,,,,,,,,,,Health and Wellness >> Shampoos & Conditioners,,,,,,,,,,,,,,,,,,,,,,,,8.25,TRUE,,,active
Tropiclean----Tropiclean-Luxury-2-in-1-Pet-Wipes-Papaya-and-Coconut-NS,Tropiclean  - Tropiclean Luxury 2 in 1 Pet Wipes Papaya and Coconut,,Trueman Distribution Ltd.,,Pet Supplies,LaunchNoScans,TRUE,Size,2,,,,,,,,97063,0,shopify,deny,manual,21.49,,TRUE,TRUE,,,,,645095008168,,,,FALSE,,,,,,,,,,,,,,,,Health and Wellness >> Shampoos & Conditioners,,,,,,,,,,,,,,,,,,,,,,,,9.6921,TRUE,,,active
Tropiclean---Waterless-Cat-Shampoo-Dander-Reducing-NS,Tropiclean - Waterless Cat Shampoo Dander Reducing,,Discontinued,,Pet Supplies,LaunchNoScans,TRUE,Size,7.4oz*,,,,,,,,97050,0,shopify,deny,manual,19.99,,TRUE,TRUE,,,,,645095008021,,,,FALSE,,,,,,,,,,,,,,,,Health and Wellness >> Shampoos & Conditioners,,,,,,,,,,,,,,,,,,,,,,,,8.8911,TRUE,,,active
Tropiclean---Waterless-Hypo-Allergenic-Shampoo-NS,Tropiclean - Waterless Hypo Allergenic Shampoo,,Trueman Distribution Ltd.,,Pet Supplies,LaunchNoScans,TRUE,Size,7.4oz,,,,,,,,83TTMN96120,0,shopify,deny,manual,19.99,,TRUE,TRUE,,,,,645095007994,,,,FALSE,,,,,,,,,,,,,,,,Health and Wellness >> Shampoos & Conditioners,,,,,,,,,,,,,,,,,,,,,,,,8.8911,TRUE,,,active
Tropiclean---Watermelon-2-in-1-Shampoo-&-Conditioner-NS,Tropiclean - Watermelon 2 in 1 Shampoo & Conditioner,,Trueman Distribution Ltd.,,Pet Supplies,LaunchNoScans,TRUE,Size,20oz*,,,,,,,,96111,0,shopify,deny,manual,20.99,,TRUE,TRUE,,,,,645095006133,,,,FALSE,,,,,,,,,,,,,,,,Health and Wellness >> Shampoos & Conditioners,,,,,,,,,,,,,,,,,,,,,,,,8.59,TRUE,,,active
Unleashed---Bed-Donut-Paw-Print-NS,Unleashed - Bed Donut Paw Print,,Anipet Animal Supplies,,Pet Supplies,LaunchNoScans,TRUE,Size,20in,,,,,,,,10272,0,shopify,deny,manual,41.99,,TRUE,TRUE,,,,,779369102723,,,,FALSE,,,,,,,,,,,,,,,,Health and Wellness >> Beds & Blankets,,,,,,,,,,,,,,,,,,,,,,,,21.9725,TRUE,,,active
Unleashed---Bed-Donut-Paw-Print-NS,Unleashed - Bed Donut Paw Print,,Anipet Animal Supplies,,Pet Supplies,LaunchNoScans,TRUE,Size,30in,,,,,,,,10273,0,shopify,deny,manual,59.99,,TRUE,TRUE,,,,,779369102730,,,,FALSE,,,,,,,,,,,,,,,,Health and Wellness >> Beds & Blankets,,,,,,,,,,,,,,,,,,,,,,,,32.47,TRUE,,,active
