Handle,Command,Title,Body HTML,Vendor,Metafield: custom.categories [single_line_text_field],Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
champion-acana-dog-grasslands,NEW,Champion - Acana - Dog Grasslands,"<p>Every ACANA® recipe is thoughtfully crafted from start to finish with premium ingredients. With the highest protein offering in ACANA pet foods, our ACANA Highest Protein Grasslands® Recipe is rich with 70%* quality animal ingredients like ranch-raised**** lamb, duck, eggs and freshwater lake fish, balanced with 30%** fruits, vegetables, and botanicals, many delivered daily. Artificial colours, flavours or preservatives are never added in our kitchen.
Our premium ingredients come from a curated group of farmers, ranchers and fishers we’ve known and trusted for decades, and we approach every batch with an unsurpassed commitment to safety and quality. The result is a protein-rich, nutritious, and delicious dog food to help them live a healthy, happy life.

* Approximate and derived from the unprocessed state of the ingredients. **We also add vitamins, minerals, natural preservatives and probiotics. ***Produced in a facility that also processes grains. ***** Our ranch-raised beef and lamb are raised on grass and other forages with supplemented feeds and minerals.</p><br /><h3>Ingredients</h3>
                                            <p>Raw grass-fed lamb (8%), fresh duck (8%), fresh eggs (8%), lamb meat meal (8%), whole herring meal (7%), turkey meal (7%), whole green peas, whole red lentils, whole chickpeas, fresh wild-caught northern pike (4%), raw lamb liver (4%), fresh duck giblets (liver, heart, kidney) (4%), fresh turkey meat (4%), lamb fat (4%), whole green lentils, whole pinto beans, whole yellow peas, sun-cured alfalfa, pollock oil (2%), lentil fibre, dried lamb cartilage (1%), raw lamb tripe (1%), dried brown kelp, fresh pumpkin, fresh butternut squash, fresh parsnips, fresh green kale, fresh spinach, fresh mustard greens, fresh turnip greens, fresh carrots, fresh apples, fresh pears, freeze-dried liver (lamb and duck) (0.1%), fresh cranberries, fresh blueberries, chicory root, turmeric root, milk thistle, burdock root, lavender, marshmallow root, rosehips. ADDITIVES (per kg): Technological additives: tocopherol-rich extract of natural origin. Nutritional additives: Vitamin E: 100IU, zinc chelate of amino acids hydrate: 100 mg, copper chelate of amino acids hydrate: 10 mg. Zootechnical additives: Enterococcus faecium</p><br /><h3>Guaranteed Analysis</h3><table><tbody><tr><td>Crude Protein</td><td>35% min</td></tr><tr><td>Crude Fat</td><td>17% min</td></tr><tr><td>Crude Fiber</td><td>6% max</td></tr><tr><td>Moisture</td><td>12% max</td></tr></tbody></table><br /><h3>Attributes</h3><table><tbody><tr><td>Size</td><td>11.4-kg</td></tr></tbody></table><br />",Trueman Distribution Ltd.,Dog >> Dog Food >> Dog Kibble (Dry),Pet Supplies,,TRUE,Size,25lb,,,,,064992542115,11339,shopify,500,deny,manual,109.99,100.99,TRUE,TRUE,26771,https://iconnectstorage.blob.core.windows.net/images/402dbbe4-ca0d-485d-9a8d-d7609ac257fd/large,1,Champion - Acana - Dog Grasslands,FALSE,Champion - Acana - Dog Grasslands,"<p>Every ACANA® recipe is thoughtfully crafted from start to finish with premium ingredients. With the highest protein offering in ACANA pet foods, our ACANA Hi...",,,,,new,TRUE,https://iconnectstorage.blob.core.windows.net/images/402dbbe4-ca0d-485d-9a8d-d7609ac257fd/large,g,,73.986,active
champion-acana-dog-grasslands,NEW,,,,,,,,Size,4.4lb,,,,,064992542207,1995,shopify,600,deny,manual,33.99,29.99,TRUE,TRUE,26773,,,,FALSE,,"<p>Every ACANA® recipe is thoughtfully crafted from start to finish with premium ingredients. With the highest protein offering in ACANA pet foods, our ACANA Hi...",,,,,new,TRUE,https://iconnectstorage.blob.core.windows.net/images/c5ad6f80-3ea9-4428-9ad0-6c27572dd25d/large,g,,21.242,active
champion-acana-dog-grasslands,NEW,,,,,,,,Size,13lb,,,,,064992542603,5896,shopify,800,deny,manual,72.99,66.99,TRUE,TRUE,26775,,,,FALSE,,"<p>Every ACANA® recipe is thoughtfully crafted from start to finish with premium ingredients. With the highest protein offering in ACANA pet foods, our ACANA Hi...",,,,,new,TRUE,https://iconnectstorage.blob.core.windows.net/images/b08d64eb-3f1a-4f34-a9a8-c77b0bc32ceb/large,g,,46.9585,active
